,player_name,link,club,country,age,position,foot,height,weight,player_id,wages,contract_end,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,sum_stats,lower_name,name,estimated_value,log_value,cluster,tsne_1,tsne_2,closest_0,closest_1,closest_2,closest_3,closest_4,closest_5,closest_6,closest_7,closest_8,closest_9,index_tracker
10,Joshua Kimmich,https://fminside.net/players/3-fm-23/92039023-joshua-kimmich,FC Bayern,Germany,27.0,"DR, DM, WBR, MCDM, MC",Right,177 CM,75 KG,92039023.0,"€ 335,640 pw",2025-06-30,16.0,17.0,11.0,10.0,16.0,15.0,11.0,15.0,12.0,13.0,18.0,11.0,12.0,16.0,15.0,15.0,14.0,17.0,13.0,15.0,20.0,13.0,17.0,12.0,13.0,18.0,18.0,20.0,12.0,12.0,12.0,10.0,20.0,12.0,20.0,11.0,522.0,joshua-kimmich,joshua-kimmich,34217564.87788645,17.348249663109787,1.0,-14.128658,-6.4513397,mason-mount,carlos-soler,james-ward-prowse,mikel-oyarzabal,ruben-neves,giacomo-bonaventura,maximilian-arnold,dusan-tadic,dani-parejo,rodrigo-de-paul,10
11,Neymar,https://fminside.net/players/3-fm-23/19024412-neymar,Paris Saint-Germain,Brazil,30.0,"ML, AML, AMC, STML, AML, AMC",Right,175 CM,68 KG,19024412.0,"€ 939,710 pw",2027-06-30,16.0,16.0,20.0,16.0,18.0,17.0,8.0,15.0,4.0,4.0,17.0,20.0,5.0,20.0,10.0,15.0,14.0,17.0,10.0,14.0,16.0,20.0,14.0,16.0,4.0,8.0,17.0,9.0,15.0,16.0,14.0,6.0,14.0,15.0,13.0,11.0,484.0,neymar,neymar,32011270.34472683,17.28159859702946,12.0,-1.5756545,-31.32945,paulo-dybala,memphis-depay,joao-felix,lionel-messi,kylian-mbappe,khvicha-kvaratskhelia,angel-di-maria,marco-asensio,julian-brandt,antoine-griezmann,11
12,Bernardo Silva,https://fminside.net/players/3-fm-23/55041632-bernardo-silva,Man City,Portugal,27.0,"MC, MR, AMR, AMCMC, AMR, AMC",Left,173 CM,64 KG,55041632.0,"€ 208,800 pw",2025-06-30,14.0,15.0,17.0,15.0,17.0,13.0,10.0,13.0,2.0,12.0,17.0,13.0,8.0,18.0,13.0,16.0,15.0,16.0,15.0,15.0,16.0,17.0,12.0,17.0,13.0,16.0,17.0,20.0,15.0,19.0,16.0,7.0,17.0,14.0,17.0,9.0,516.0,bernardo-silva,bernardo-silva,84548661.00596401,18.25283779647103,9.0,0.62646174,-11.427996,karim-benzema,pedri,sergio-canales,martin-odegaard,frenkie-de-jong,thiago,ilkay-gundogan,marco-verratti,bruno-guimaraes,luka-modric,12
13,Rodri,https://fminside.net/players/3-fm-23/67217524-rodri,Man City,Spain,26.0,"DC, DM, MCDM",Right,191 CM,75 KG,67217524.0,"€ 185,600 pw",2027-06-30,7.0,8.0,13.0,9.0,15.0,8.0,13.0,14.0,8.0,13.0,15.0,8.0,17.0,14.0,13.0,17.0,15.0,17.0,16.0,18.0,13.0,9.0,11.0,13.0,17.0,16.0,14.0,16.0,14.0,13.0,12.0,17.0,16.0,13.0,17.0,16.0,485.0,rodri,rodri,40765372.65344702,17.52334356954226,8.0,-17.486187,14.705296,leon-goretzka,declan-rice,aymeric-laporte,john-stones,william-carvalho,joao-palhinha,sergio-busquets,benjamin-pavard,gerard-pique,ali-al-musrati,13
14,Rúben Dias,https://fminside.net/players/3-fm-23/55070299-ruben-dias,Man City,Portugal,25.0,DCDC,Right,186 CM,83 KG,55070299.0,"€ 203,000 pw",2027-06-30,4.0,11.0,12.0,6.0,13.0,5.0,15.0,4.0,5.0,17.0,14.0,8.0,18.0,13.0,16.0,17.0,18.0,15.0,16.0,15.0,18.0,8.0,17.0,8.0,17.0,16.0,13.0,17.0,13.0,13.0,12.0,16.0,18.0,13.0,18.0,16.0,475.0,rúben-dias,ruben-dias,33185202.31346555,17.31761462107712,10.0,-12.316304,23.955599,gernot-trauner,gustavo-gomez,ronald-araujo,jose-gimenez,simon-kjaer,nicolas-otamendi,matthijs-de-ligt,mohammed-salisu,dejan-lovren,wout-faes,14
15,Vinicius Júnior,https://fminside.net/players/3-fm-23/19302146-vinicius-junior,Real Madrid,Brazil,21.0,"AMR, AMLAML",Right,177 CM,62 KG,19302146.0,"€ 750,053,380","€ 215,770 pw",7.0,13.0,18.0,16.0,13.0,8.0,11.0,12.0,4.0,3.0,14.0,12.0,6.0,15.0,16.0,14.0,17.0,15.0,12.0,15.0,18.0,16.0,13.0,16.0,9.0,13.0,14.0,14.0,19.0,16.0,14.0,8.0,15.0,18.0,15.0,12.0,471.0,vinicius-júnior,vinicius-junior,68638348.62198102,18.044361954317,6.0,15.938341,-12.91305,inaki-williams,rodrygo,christian-kouame,timo-werner,marcus-rashford,diogo-jota,federico-chiesa,gabriel-martinelli,josef-martinez,evanilson,15
16,Sadio Mané,https://fminside.net/players/3-fm-23/85100467-sadio-mane,FC Bayern,Senegal,30.0,"AMR, AML, AMC, STAMR, AML, ST",Right,174 CM,69 KG,85100467.0,"€ 345,230 pw",2025-06-30,9.0,12.0,16.0,13.0,16.0,8.0,14.0,12.0,3.0,8.0,14.0,12.0,10.0,17.0,14.0,17.0,15.0,15.0,12.0,14.0,17.0,16.0,13.0,18.0,9.0,16.0,14.0,17.0,15.0,16.0,15.0,12.0,17.0,15.0,14.0,11.0,486.0,sadio-mané,sadio-mane,30952042.36191448,17.247949543994093,14.0,21.92193,-3.940884,mehdi-taremi,darwin-nunez,alvaro-morata,gabriel-jesus,lautaro-martinez,gerard-moreno,edinson-cavani,ivan-toney,edin-dzeko,sergej-milinkovic-savic,16
17,Heung-Min Son,https://fminside.net/players/3-fm-23/92020288-heung-min-son,Tottenham Hotspur,South Korea,29.0,"ML, AML, STAML, ST",Both,183 CM,77 KG,92020288.0,"€ 228,520 pw",2025-06-30,14.0,14.0,15.0,16.0,13.0,13.0,8.0,16.0,6.0,5.0,13.0,9.0,6.0,17.0,8.0,15.0,6.0,17.0,11.0,13.0,14.0,13.0,13.0,17.0,7.0,14.0,12.0,17.0,16.0,14.0,12.0,10.0,16.0,16.0,16.0,10.0,452.0,heung-min-son,heung-min-son,15529538.187854445,16.558254457905804,12.0,3.868275,-23.324701,ricardo-horta,angel-correa,viktor-tsygankov,lucas-zelarayan,pablo-sarabia,fabio-vieira,dejan-kulusevski,james-maddison,hany-mukhtar,joao-mario,17
18,Federico Valverde,https://fminside.net/players/3-fm-23/78074594-federico-valverde,Real Madrid,Uruguay,23.0,"MC, MR, AMRMC",Right,181 CM,74 KG,78074594.0,"€ 1,000,000,000","€ 209,800 pw",13.0,12.0,12.0,13.0,14.0,14.0,12.0,17.0,10.0,13.0,15.0,10.0,13.0,13.0,12.0,14.0,15.0,12.0,14.0,13.0,15.0,14.0,13.0,15.0,12.0,17.0,14.0,17.0,17.0,15.0,15.0,12.0,17.0,17.0,17.0,14.0,502.0,federico-valverde,federico-valverde,66618450.64617647,18.014492133872405,2.0,7.5050707,-2.813767,sasa-lukic,baptiste-santamaria,ederson,theo-hernandez,mattias-svanberg,matteo-pessina,roberto-firmino,seko-fofana,kai-havertz,charles-de-ketelaere,18
19,Bruno Fernandes,https://fminside.net/players/3-fm-23/43124203-bruno-fernandes,Manchester United,Portugal,27.0,"MC, AMCAMC",Right,179 CM,69 KG,43124203.0,"€ 290,000 pw",2026-06-30,16.0,16.0,11.0,15.0,17.0,16.0,10.0,16.0,4.0,3.0,17.0,19.0,8.0,17.0,18.0,17.0,17.0,15.0,14.0,11.0,17.0,17.0,17.0,17.0,6.0,15.0,18.0,15.0,13.0,15.0,13.0,9.0,18.0,14.0,19.0,10.0,510.0,bruno-fernandes,bruno-fernandes,42528156.75145183,17.565676926329452,1.0,-11.806407,-16.15307,dusan-tadic,rodrigo-de-paul,dani-parejo,lorenzo-pellegrini,ruben-neves,joshua-kimmich,luis-suarez,carlos-soler,daniel-alves,james-ward-prowse,19
20,Aymeric Laporte,https://fminside.net/players/3-fm-23/85085378-aymeric-laporte,Man City,Spain,28.0,DCDC,Left,191 CM,85 KG,85085378.0,"€ 150,800 pw",2025-06-30,8.0,11.0,13.0,8.0,15.0,10.0,16.0,11.0,8.0,16.0,16.0,11.0,15.0,15.0,13.0,16.0,15.0,16.0,15.0,16.0,14.0,12.0,13.0,14.0,16.0,13.0,16.0,14.0,14.0,13.0,12.0,16.0,15.0,14.0,15.0,14.0,489.0,aymeric-laporte,aymeric-laporte,27927883.07048253,17.14513614093794,8.0,-17.144045,14.791468,leon-goretzka,declan-rice,rodri,john-stones,william-carvalho,joao-palhinha,ali-al-musrati,benjamin-pavard,sergio-busquets,gerard-pique,20
21,Thiago Silva,https://fminside.net/players/3-fm-23/8833628-thiago-silva,Chelsea FC,Brazil,37.0,DCDC,Right,181 CM,81 KG,8833628.0,"€ 115,010 pw",2024-06-30,4.0,5.0,9.0,7.0,14.0,8.0,17.0,7.0,7.0,17.0,13.0,14.0,16.0,13.0,17.0,17.0,15.0,20.0,17.0,17.0,15.0,8.0,19.0,8.0,19.0,15.0,13.0,14.0,10.0,12.0,16.0,13.0,14.0,10.0,14.0,14.0,468.0,thiago-silva,thiago-silva,4305638.796689036,15.275436069665073,8.0,-17.149776,24.263908,marquinhos,tomas-soucek,benjamin-pavard,virgil-van-dijk,gerard-pique,william-carvalho,joao-palhinha,axel-witsel,sergio-busquets,john-stones,21
22,Bukayo Saka,https://fminside.net/players/3-fm-23/28122642-bukayo-saka,Arsenal,England,20.0,"AMR, AMLAMR, AML",Left,178 CM,71 KG,28122642.0,"€ 58,000 pw",2024-06-30,13.0,14.0,15.0,13.0,15.0,9.0,7.0,12.0,6.0,9.0,13.0,14.0,10.0,15.0,12.0,16.0,12.0,14.0,14.0,16.0,16.0,16.0,9.0,16.0,10.0,17.0,15.0,15.0,16.0,16.0,17.0,9.0,16.0,15.0,16.0,12.0,480.0,bukayo-saka,bukayo-saka,53965340.81361213,17.80385256167818,15.0,2.1489635,-11.740592,phil-foden,christopher-nkunku,dudu,emiliano-buendia,jamal-musiala,stephan-el-shaarawy,rafinha,jack-grealish,joao-cancelo,pedro-porro,22
23,NGolo Kanté,https://fminside.net/players/3-fm-23/85081880-ngolo-kante,Chelsea FC,France,31.0,"DM, MCDM, MC",Right,168 CM,71 KG,85081880.0,"€ 336,400 pw",2023-06-30,6.0,12.0,11.0,10.0,14.0,8.0,10.0,10.0,6.0,12.0,15.0,8.0,19.0,14.0,15.0,20.0,15.0,14.0,16.0,16.0,19.0,13.0,5.0,15.0,15.0,20.0,14.0,20.0,14.0,13.0,15.0,7.0,18.0,14.0,18.0,11.0,482.0,ngolo-kanté,ngolo-kante,19024641.94347163,16.761245641218053,5.0,3.374571,21.364769,wilmar-barrios,guido-rodriguez,mauro-arambarri,marcelo-brozovic,remo-freuler,kalvin-phillips,rodrigo-bentancur,fredrik-aursnes,lucas-torreira,mohamed-camara,23
24,Thomas Müller,https://fminside.net/players/3-fm-23/35011448-thomas-muller,FC Bayern,Germany,32.0,"MC, MR, AMR, AMC, STAMR, AMC",Right,185 CM,76 KG,35011448.0,"€ 335,640 pw",2024-06-30,11.0,17.0,11.0,13.0,13.0,7.0,14.0,10.0,7.0,9.0,16.0,13.0,11.0,13.0,15.0,20.0,14.0,16.0,16.0,16.0,18.0,13.0,17.0,19.0,11.0,20.0,17.0,17.0,12.0,12.0,13.0,13.0,20.0,14.0,18.0,11.0,507.0,thomas-müller,thomas-muller,23520231.021502063,16.973371503289236,1.0,21.773909,-0.32082704,teun-koopmeiners,sergio-oliveira,hans-vanaken,charles-aranguiz,danilo-cataldi,david-alaba,andres-guardado,granit-xhaka,pascal-gross,james-milner,24
25,Thiago,https://fminside.net/players/3-fm-23/67022040-thiago,Liverpool,Spain,31.0,"DM, MC, AMCDM, MC",Right,174 CM,70 KG,67022040.0,"€ 261,000 pw",2024-06-30,12.0,13.0,17.0,8.0,18.0,12.0,10.0,12.0,5.0,12.0,17.0,12.0,15.0,18.0,14.0,16.0,12.0,17.0,14.0,15.0,15.0,17.0,11.0,15.0,13.0,15.0,18.0,15.0,14.0,17.0,15.0,10.0,12.0,11.0,14.0,9.0,490.0,thiago,thiago,16788610.062803894,16.636211241994086,9.0,-2.4567685,-8.999118,pedri,marco-verratti,luka-modric,bernardo-silva,sergio-canales,martin-odegaard,ilkay-gundogan,bruno-guimaraes,jorginho,frenkie-de-jong,25
26,Raheem Sterling,https://fminside.net/players/3-fm-23/28054109-raheem-sterling,Chelsea FC,England,27.0,"MR, ML, AMR, AMLAMR, AML",Right,172 CM,70 KG,28054109.0,"€ 406,000 pw",2027-06-30,8.0,13.0,15.0,13.0,13.0,10.0,12.0,12.0,5.0,7.0,13.0,8.0,8.0,13.0,12.0,18.0,11.0,12.0,13.0,13.0,13.0,14.0,12.0,20.0,9.0,14.0,13.0,15.0,18.0,18.0,14.0,8.0,20.0,16.0,18.0,12.0,463.0,raheem-sterling,raheem-sterling,25460808.84276414,17.052650919746963,6.0,20.857738,-3.7390308,timo-werner,rodrygo,vinicius-junior,victor-osimhen,marcus-rashford,richarlison,christian-kouame,wilfried-zaha,amine-gouiri,levi-garcia,26
27,Antonio Rudiger,https://fminside.net/players/3-fm-23/92023410-antonio-rudiger,Real Madrid,Germany,29.0,DCDC,Right,190 CM,85 KG,92023410.0,"€ 123,533,790","€ 244,770 pw",5.0,10.0,10.0,7.0,10.0,9.0,15.0,8.0,14.0,15.0,12.0,7.0,17.0,11.0,18.0,15.0,18.0,13.0,14.0,17.0,17.0,9.0,18.0,8.0,14.0,13.0,10.0,15.0,17.0,9.0,17.0,15.0,15.0,16.0,16.0,18.0,472.0,antonio-rudiger,antonio-rudiger,15669753.407233171,16.567242877592758,10.0,-6.3384695,41.295593,pepe,lewis-dunk,nayef-aguerd,sebastian-coates,ethan-pinnock,raul-albiol,sven-botman,wout-faes,dejan-lovren,simon-kjaer,27
28,Martin Ødegaard,https://fminside.net/players/3-fm-23/53095137-martin-degaard,Arsenal,Norway,23.0,"MC, AMCMC, AMC",Left,178 CM,68 KG,53095137.0,"€ 139,200 pw",2025-06-30,14.0,14.0,16.0,12.0,17.0,15.0,9.0,14.0,6.0,10.0,17.0,10.0,9.0,17.0,8.0,18.0,10.0,15.0,14.0,17.0,15.0,16.0,14.0,17.0,9.0,17.0,18.0,14.0,13.0,16.0,15.0,9.0,13.0,13.0,15.0,11.0,487.0,martin-ødegaard,martin-odegaard,43235813.255821824,17.58217972032632,9.0,-1.6617646,-11.709697,sergio-canales,pedri,luka-modric,bernardo-silva,thiago,marco-verratti,frenkie-de-jong,karim-benzema,ilkay-gundogan,bruno-guimaraes,28
29,Antoine Griezmann,https://fminside.net/players/3-fm-23/67086656-antoine-griezmann,Atlético Madrid,France,31.0,"AMR, AML, AMC, STAMR, AML, AMC, ST",Left,175 CM,71 KG,67086656.0,"€ 500,035,600","€ 268,510 pw",14.0,15.0,16.0,14.0,16.0,15.0,13.0,14.0,4.0,5.0,16.0,13.0,10.0,17.0,12.0,15.0,12.0,11.0,13.0,13.0,17.0,17.0,12.0,16.0,10.0,12.0,16.0,14.0,15.0,14.0,13.0,9.0,15.0,14.0,14.0,10.0,476.0,antoine-griezmann,antoine-griezmann,9954313.967602411,16.113516579755967,12.0,-5.8998885,-28.056248,paulo-dybala,angel-di-maria,cody-gakpo,marco-asensio,mattia-zaccagni,hany-mukhtar,piotr-zielinski,julian-brandt,lionel-messi,neymar,29
30,İlkay Gündogan,https://fminside.net/players/3-fm-23/91003875-lkay-gundogan,Man City,Germany,31.0,"DM, MC, AMCMC",Right,180 CM,80 KG,91003875.0,"€ 191,400 pw",2023-06-30,10.0,11.0,14.0,13.0,17.0,14.0,7.0,12.0,6.0,10.0,16.0,14.0,13.0,16.0,15.0,17.0,13.0,16.0,14.0,14.0,13.0,13.0,10.0,16.0,12.0,16.0,16.0,15.0,14.0,16.0,14.0,10.0,13.0,13.0,16.0,13.0,482.0,i̇lkay-gündogan,ilkay-gundogan,19967089.844842523,16.809595968425487,9.0,-1.1435354,-8.126642,marco-verratti,karim-benzema,luka-modric,bruno-guimaraes,thiago,martin-odegaard,frenkie-de-jong,jorginho,bernardo-silva,sergio-canales,30
31,Leroy Sané,https://fminside.net/players/3-fm-23/91138280-leroy-sane,FC Bayern,Germany,26.0,"MR, ML, AMR, AML, AMCAMR, AML",Left,183 CM,80 KG,91138280.0,"€ 326,050 pw",2025-06-30,14.0,14.0,18.0,13.0,15.0,16.0,7.0,17.0,3.0,7.0,15.0,11.0,8.0,17.0,13.0,15.0,10.0,14.0,11.0,14.0,11.0,16.0,4.0,15.0,8.0,11.0,15.0,9.0,17.0,16.0,15.0,10.0,15.0,18.0,13.0,11.0,456.0,leroy-sané,leroy-sane,25751178.47954934,17.06399095022287,3.0,6.1874995,-25.578268,kingsley-coman,callum-hudson-odoi,ez-abde,yannick-carrasco,rafa,leandro-trossard,matheus-cunha,mikkel-damsgaard,hirving-lozano,michael-olise,31
32,João Cancelo,https://fminside.net/players/3-fm-23/55041623-joao-cancelo,FC Bayern,Portugal,28.0,"DR, DL, WBR, WBLDR, DL, WBR, WBL",Right,182 CM,74 KG,55041623.0,"€ 255,200 pw",2027-06-30,13.0,17.0,16.0,11.0,15.0,13.0,10.0,13.0,12.0,9.0,16.0,11.0,13.0,17.0,14.0,13.0,12.0,12.0,12.0,13.0,13.0,17.0,7.0,14.0,12.0,13.0,16.0,14.0,16.0,16.0,14.0,12.0,15.0,16.0,14.0,12.0,483.0,joão-cancelo,joao-cancelo,18904249.33526816,16.75489728731269,15.0,4.705143,-4.4906964,dudu,roberto-pereyra,facundo-torres,max-gradel,bukayo-saka,pedro-porro,tijjani-reijnders,phil-foden,miroslav-stevanovic,alejandro-pozuelo,32
33,Gabriel Jesus,https://fminside.net/players/3-fm-23/19220266-gabriel-jesus,Arsenal,Brazil,25.0,"AMR, AML, STST",Right,175 CM,73 KG,19220266.0,"€ 139,200 pw",2027-06-30,8.0,12.0,16.0,14.0,15.0,11.0,15.0,12.0,4.0,7.0,14.0,13.0,8.0,16.0,14.0,16.0,14.0,15.0,14.0,15.0,15.0,16.0,9.0,16.0,10.0,18.0,14.0,18.0,15.0,16.0,15.0,10.0,15.0,15.0,15.0,14.0,484.0,gabriel-jesus,gabriel-jesus,44875015.7884102,17.619391756603523,14.0,21.992641,-4.0020123,mehdi-taremi,darwin-nunez,sadio-mane,alvaro-morata,lautaro-martinez,gerard-moreno,edinson-cavani,ivan-toney,edin-dzeko,sergej-milinkovic-savic,33
34,Kyle Walker,https://fminside.net/players/3-fm-23/28009441-kyle-walker,Man City,England,32.0,"DR, WBRDR, WBR",Right,178 CM,83 KG,28009441.0,"€ 203,000 pw",2024-06-30,8.0,11.0,14.0,7.0,13.0,11.0,13.0,8.0,12.0,14.0,13.0,6.0,13.0,13.0,13.0,16.0,13.0,13.0,13.0,13.0,16.0,10.0,11.0,13.0,14.0,15.0,12.0,16.0,19.0,13.0,13.0,11.0,19.0,18.0,17.0,13.0,467.0,kyle-walker,kyle-walker,17970794.479810607,16.704258469235455,0.0,3.7743938,15.623769,tyrick-mitchell,ben-chilwell,andrew-robertson,ferland-mendy,denzel-dumfries,kieran-tierney,dani-carvajal,rico-henry,vladimir-coufal,djene-dakonam,34
