,player_name,link,club,country,age,position,foot,height,weight,player_id,wages,contract_end,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength
26,Aymeric Laporte,https://fminside.net/players/3-fm-23/85085378-aymeric-laporte,Man City,Spain,28,DCDC,Left,191 CM,85 KG,85085378,"€ 150,800 pw",2025-06-30,8,11,13,8,15,10,16,11,8,16,16,11,15,15,13,16,15,16,15,16,14,12,13,14,16,13,16,14,14,13,12,16,15,14,15,14
27,Thiago Silva,https://fminside.net/players/3-fm-23/8833628-thiago-silva,Chelsea FC,Brazil,37,DCDC,Right,181 CM,81 KG,8833628,"€ 115,010 pw",2024-06-30,4,5,9,7,14,8,17,7,7,17,13,14,16,13,17,17,15,20,17,17,15,8,19,8,19,15,13,14,10,12,16,13,14,10,14,14
28,Bukayo Saka,https://fminside.net/players/3-fm-23/28122642-bukayo-saka,Arsenal,England,20,"AMR, AMLAMR, AML",Left,178 CM,71 KG,28122642,"€ 58,000 pw",2024-06-30,13,14,15,13,15,9,7,12,6,9,13,14,10,15,12,16,12,14,14,16,16,16,9,16,10,17,15,15,16,16,17,9,16,15,16,12
29,NGolo Kanté,https://fminside.net/players/3-fm-23/85081880-ngolo-kante,Chelsea FC,France,31,"DM, MCDM, MC",Right,168 CM,71 KG,85081880,"€ 336,400 pw",2023-06-30,6,12,11,10,14,8,10,10,6,12,15,8,19,14,15,20,15,14,16,16,19,13,5,15,15,20,14,20,14,13,15,7,18,14,18,11
30,Thomas Müller,https://fminside.net/players/3-fm-23/35011448-thomas-muller,FC Bayern,Germany,32,"MC, MR, AMR, AMC, STAMR, AMC",Right,185 CM,76 KG,35011448,"€ 335,640 pw",2024-06-30,11,17,11,13,13,7,14,10,7,9,16,13,11,13,15,20,14,16,16,16,18,13,17,19,11,20,17,17,12,12,13,13,20,14,18,11
31,Thiago,https://fminside.net/players/3-fm-23/67022040-thiago,Liverpool,Spain,31,"DM, MC, AMCDM, MC",Right,174 CM,70 KG,67022040,"€ 261,000 pw",2024-06-30,12,13,17,8,18,12,10,12,5,12,17,12,15,18,14,16,12,17,14,15,15,17,11,15,13,15,18,15,14,17,15,10,12,11,14,9
32,Raheem Sterling,https://fminside.net/players/3-fm-23/28054109-raheem-sterling,Chelsea FC,England,27,"MR, ML, AMR, AMLAMR, AML",Right,172 CM,70 KG,28054109,"€ 406,000 pw",2027-06-30,8,13,15,13,13,10,12,12,5,7,13,8,8,13,12,18,11,12,13,13,13,14,12,20,9,14,13,15,18,18,14,8,20,16,18,12
33,Antonio Rudiger,https://fminside.net/players/3-fm-23/92023410-antonio-rudiger,Real Madrid,Germany,29,DCDC,Right,190 CM,85 KG,92023410,"€ 123,533,790","€ 244,770 pw",5,10,10,7,10,9,15,8,14,15,12,7,17,11,18,15,18,13,14,17,17,9,18,8,14,13,10,15,17,9,17,15,15,16,16,18
34,Martin Ødegaard,https://fminside.net/players/3-fm-23/53095137-martin-degaard,Arsenal,Norway,23,"MC, AMCMC, AMC",Left,178 CM,68 KG,53095137,"€ 139,200 pw",2025-06-30,14,14,16,12,17,15,9,14,6,10,17,10,9,17,8,18,10,15,14,17,15,16,14,17,9,17,18,14,13,16,15,9,13,13,15,11
35,Antoine Griezmann,https://fminside.net/players/3-fm-23/67086656-antoine-griezmann,Atlético Madrid,France,31,"AMR, AML, AMC, STAMR, AML, AMC, ST",Left,175 CM,71 KG,67086656,"€ 500,035,600","€ 268,510 pw",14,15,16,14,16,15,13,14,4,5,16,13,10,17,12,15,12,11,13,13,17,17,12,16,10,12,16,14,15,14,13,9,15,14,14,10
36,İlkay Gündogan,https://fminside.net/players/3-fm-23/91003875-lkay-gundogan,Man City,Germany,31,"DM, MC, AMCMC",Right,180 CM,80 KG,91003875,"€ 191,400 pw",2023-06-30,10,11,14,13,17,14,7,12,6,10,16,14,13,16,15,17,13,16,14,14,13,13,10,16,12,16,16,15,14,16,14,10,13,13,16,13
37,Leroy Sané,https://fminside.net/players/3-fm-23/91138280-leroy-sane,FC Bayern,Germany,26,"MR, ML, AMR, AML, AMCAMR, AML",Left,183 CM,80 KG,91138280,"€ 326,050 pw",2025-06-30,14,14,18,13,15,16,7,17,3,7,15,11,8,17,13,15,10,14,11,14,11,16,4,15,8,11,15,9,17,16,15,10,15,18,13,11
38,João Cancelo,https://fminside.net/players/3-fm-23/55041623-joao-cancelo,FC Bayern,Portugal,28,"DR, DL, WBR, WBLDR, DL, WBR, WBL",Right,182 CM,74 KG,55041623,"€ 255,200 pw",2027-06-30,13,17,16,11,15,13,10,13,12,9,16,11,13,17,14,13,12,12,12,13,13,17,7,14,12,13,16,14,16,16,14,12,15,16,14,12
39,Gabriel Jesus,https://fminside.net/players/3-fm-23/19220266-gabriel-jesus,Arsenal,Brazil,25,"AMR, AML, STST",Right,175 CM,73 KG,19220266,"€ 139,200 pw",2027-06-30,8,12,16,14,15,11,15,12,4,7,14,13,8,16,14,16,14,15,14,15,15,16,9,16,10,18,14,18,15,16,15,10,15,15,15,14
40,Kyle Walker,https://fminside.net/players/3-fm-23/28009441-kyle-walker,Man City,England,32,"DR, WBRDR, WBR",Right,178 CM,83 KG,28009441,"€ 203,000 pw",2024-06-30,8,11,14,7,13,11,13,8,12,14,13,6,13,13,13,16,13,13,13,13,16,10,11,13,14,15,12,16,19,13,13,11,19,18,17,13
41,Jack Grealish,https://fminside.net/players/3-fm-23/28067800-jack-grealish,Man City,England,26,"MR, ML, AMR, AML, AMCML, AML, AMC",Right,175 CM,82 KG,28067800,"€ 313,200 pw",2027-06-30,13,15,17,13,15,11,11,13,3,6,14,12,9,15,11,13,14,14,12,13,14,16,12,13,11,14,16,15,15,15,14,7,15,15,14,14
42,Reece James,https://fminside.net/players/3-fm-23/28108035-reece-james,Chelsea FC,England,22,"DR, DC, DM, WBRDR, WBR",Right,179 CM,91 KG,28108035,"€ 290,000 pw",2028-06-30,13,16,11,12,14,14,14,11,9,13,13,7,14,15,16,14,18,16,14,16,17,12,13,12,13,15,11,16,15,12,19,10,15,14,15,18
43,Toni Kroos,https://fminside.net/players/3-fm-23/156772-toni-kroos,Real Madrid,Germany,32,"DM, MCMC",Right,183 CM,76 KG,156772,"€ 500,035,600","€ 359,610 pw",19,18,14,13,18,14,7,17,8,8,20,13,9,16,9,17,9,18,14,17,10,11,12,15,13,16,18,10,11,10,12,10,12,11,12,13
44,Kai Havertz,https://fminside.net/players/3-fm-23/91151081-kai-havertz,Chelsea FC,Germany,23,"AMC, STAMC, ST",Left,191 CM,84 KG,91151081,"€ 174,000 pw",2025-06-30,11,12,14,15,18,11,13,11,8,7,14,12,10,17,11,15,11,17,10,16,10,15,7,17,10,15,17,13,13,13,13,14,16,17,15,13
45,Marco Verratti,https://fminside.net/players/3-fm-23/43026579-marco-verratti,Paris Saint-Germain,Italy,29,"DM, MCDM, MC",Right,165 CM,60 KG,43026579,"€ 276,180 pw",2026-06-30,14,17,16,10,18,13,6,13,6,12,18,15,15,17,14,17,16,18,14,15,14,18,12,14,13,17,18,13,12,16,16,6,12,12,12,9
46,Casemiro,https://fminside.net/players/3-fm-23/19061518-casemiro,Manchester United,Brazil,30,"DM, MCDM, MC",Right,185 CM,84 KG,19061518,"€ 348,000 pw",2026-06-30,10,11,12,11,14,10,14,14,10,14,14,11,15,14,18,17,16,15,14,15,17,12,15,12,18,17,12,18,11,12,15,14,15,12,17,17
47,Marquinhos,https://fminside.net/players/3-fm-23/19163495-marquinhos,Paris Saint-Germain,Brazil,28,"DC, DMDC",Right,183 CM,75 KG,19163495,"€ 276,180 pw",2024-06-30,4,11,10,8,14,4,15,10,7,16,14,8,16,14,14,17,15,17,17,16,17,10,15,8,16,17,13,15,13,13,16,13,15,14,16,14
48,Luis Díaz,https://fminside.net/players/3-fm-23/76049803-luis-diaz,Liverpool,Colombia,25,AMLAML,Right,180 CM,70 KG,76049803,"€ 104,400 pw",2027-06-30,10,12,17,15,18,10,13,13,4,8,14,6,7,18,13,13,13,14,13,13,15,19,4,15,9,13,14,14,17,17,14,10,15,16,13,10
49,Mason Mount,https://fminside.net/players/3-fm-23/28103590-mason-mount,Chelsea FC,England,23,"MC, AMR, AML, AMCAMC",Right,180 CM,73 KG,28103590,"€ 89,320 pw",2024-06-30,14,12,11,14,15,14,9,12,5,7,15,15,11,14,14,14,15,15,12,15,18,13,12,17,14,18,12,20,15,13,10,9,15,15,20,11
50,Phil Foden,https://fminside.net/players/3-fm-23/28108494-phil-foden,Man City,England,22,"AMR, AML, AMCAML, AMC",Left,171 CM,64 KG,28108494,"€ 139,200 pw",2027-06-30,13,13,17,14,17,13,8,12,5,8,17,12,8,17,7,14,13,15,15,14,14,16,8,16,9,14,16,16,15,17,15,7,14,16,15,9
51,Frenkie de Jong,https://fminside.net/players/3-fm-23/37047745-frenkie-de-jong,FC Barcelona,Netherlands,25,"DC, DM, MCDM, MC",Right,181 CM,69 KG,37047745,"€ 463,999,990","€ 269,250 pw",9,11,16,10,17,13,10,8,6,10,16,11,12,16,7,17,11,16,15,16,15,15,11,15,14,17,18,14,14,16,13,10,13,13,13,10
52,Ronald Araujo,https://fminside.net/players/3-fm-23/78085068-ronald-araujo,FC Barcelona,Uruguay,23,DCDC,Right,188 CM,91 KG,78085068,"€ 1,000,000,000","€ 144,240 pw",5,7,11,11,13,8,17,11,7,17,12,13,17,12,16,15,18,15,16,14,17,8,16,7,15,15,11,16,12,12,12,16,14,16,15,16
53,Rafael Leão,https://fminside.net/players/3-fm-23/83111483-rafael-leao,AC Milan,Portugal,23,"AML, STAML",Right,188 CM,81 KG,83111483,"€ 150,010,690","€ 34,430 pw",7,15,17,15,16,6,11,12,6,5,15,12,7,15,9,14,8,13,11,13,14,18,9,15,7,13,14,12,17,18,16,14,16,16,11,14
54,Leon Goretzka,https://fminside.net/players/3-fm-23/91104807-leon-goretzka,FC Bayern,Germany,27,"DM, MC, AMCDM, MC",Right,189 CM,82 KG,91104807,"€ 268,510 pw",2026-06-30,5,9,12,13,15,6,16,15,6,12,15,11,15,15,14,17,16,16,14,15,18,12,14,18,13,17,15,18,12,11,15,16,12,15,17,17
55,Victor Osimhen,https://fminside.net/players/3-fm-23/13158205-victor-osimhen,Napoli,Nigeria,23,STST,Right,185 CM,78 KG,13158205,"€ 100,007,120","€ 110,970 pw",4,8,13,16,14,7,16,12,4,4,12,13,7,14,15,15,12,14,13,13,14,14,10,19,5,12,11,13,17,15,14,15,14,19,13,15
56,Declan Rice,https://fminside.net/players/3-fm-23/28106491-declan-rice,West Ham,England,23,"DC, DM, MCDM, MC",Right,185 CM,80 KG,28106491,"€ 69,600 pw",2024-06-30,7,11,14,9,14,8,12,9,10,14,15,11,17,14,13,15,14,17,15,15,17,10,16,16,17,16,14,17,13,13,13,12,18,13,17,13
57,Raphaël Varane,https://fminside.net/players/3-fm-23/85075627-raphael-varane,Manchester United,France,29,DCDC,Right,191 CM,81 KG,85075627,"€ 406,000 pw",2025-06-30,4,6,10,6,13,8,16,6,10,17,14,10,16,14,11,16,13,13,15,13,12,11,12,6,17,14,9,12,16,14,11,17,16,16,15,15
58,Kingsley Coman,https://fminside.net/players/3-fm-23/85104424-kingsley-coman,FC Bayern,France,26,"MR, ML, AMR, AMLAMR, AML",Right,179 CM,75 KG,85104424,"€ 287,690 pw",2027-06-30,11,12,17,12,15,10,9,13,4,8,13,10,8,16,13,13,12,12,12,12,14,17,11,14,8,12,14,12,19,17,13,9,13,17,12,10
59,Ousmane Dembélé,https://fminside.net/players/3-fm-23/85140178-ousmane-dembele,FC Barcelona,France,25,"MR, ML, AMR, AMLAMR, AML",Both,178 CM,67 KG,85140178,"€ 50,003,560","€ 230,780 pw",13,17,19,12,14,10,7,13,6,4,12,11,6,17,9,11,11,9,8,8,13,18,8,14,5,7,15,11,18,18,11,9,12,18,12,10
60,Paulo Dybala,https://fminside.net/players/3-fm-23/14044150-paulo-dybala,AS Roma,Argentina,28,"AMR, AMC, STAMC, ST",Left,177 CM,79 KG,14044150,"€ 160,200 pw",2025-06-30,15,15,18,16,18,17,11,17,4,4,17,16,4,19,9,16,9,12,11,14,13,17,11,14,4,14,17,12,14,18,18,7,10,13,12,12
61,Lautaro Martínez,https://fminside.net/players/3-fm-23/14110660-lautaro-martinez,Internazionale,Argentina,24,STST,Right,174 CM,79 KG,14110660,"€ 213,670 pw",2026-06-30,4,8,14,15,16,8,16,14,4,5,12,15,8,16,18,15,18,13,12,13,19,16,12,16,7,15,12,18,16,17,14,11,16,17,15,13
62,David Alaba,https://fminside.net/players/3-fm-23/16010162-david-alaba,Real Madrid,Austria,30,"DL, DC, WBL, MCDL, DC",Left,180 CM,78 KG,16010162,"€ 850,060,520","€ 419,610 pw",12,11,12,10,15,15,13,14,13,14,16,14,13,15,13,15,12,16,14,15,16,12,15,14,15,15,13,14,15,12,14,12,18,15,15,13
63,Yannick Carrasco,https://fminside.net/players/3-fm-23/18027198-yannick-carrasco,Atlético Madrid,Belgium,28,"WBL, MR, ML, AMR, AMLWBL, ML, AML",Right,180 CM,71 KG,18027198,"€ 20,001,420","€ 165,010 pw",14,13,17,13,14,15,8,13,6,4,13,15,4,17,11,12,10,14,12,13,15,16,9,16,7,10,15,12,16,14,13,10,12,17,13,11
64,Mateo Kovacic,https://fminside.net/players/3-fm-23/24016925-mateo-kovacic,Chelsea FC,Croatia,28,"DM, MC, AMCDM, MC",Right,176 CM,82 KG,24016925,"€ 174,000 pw",2024-06-30,10,10,17,8,17,12,10,10,7,12,15,12,15,17,14,16,14,18,11,14,17,16,11,13,12,15,15,17,15,14,16,9,12,14,15,15
65,John Stones,https://fminside.net/players/3-fm-23/28060397-john-stones,Man City,England,28,DCDC,Right,188 CM,72 KG,28060397,"€ 232,000 pw",2026-06-30,5,8,13,8,14,5,14,5,8,13,16,12,16,15,13,15,16,17,15,14,13,12,13,14,16,16,14,17,14,13,12,16,16,15,16,15
66,Gianluigi Donnarumma,https://fminside.net/players/3-fm-23/43252073-gianluigi-donnarumma,Paris Saint-Germain,Italy,23,GKGK,Right,196 CM,90 KG,43252073,"€ 249,330 pw",2026-06-30,16,14,14,9,7,15,13,16,7,14,18,11,12,8,16,16,14,14,15,15,6,14,2,15,15,8,13,10,16,16,18,15,11,15,16,1
67,Jules Koundé,https://fminside.net/players/3-fm-23/48036304-jules-kounde,FC Barcelona,France,23,"DR, DC, WBRDC",Right,178 CM,70 KG,48036304,"€ 1,000,000,000","€ 182,700 pw",6,13,12,9,13,5,16,7,8,16,13,8,16,13,14,17,16,14,14,14,16,12,14,12,15,16,14,16,15,16,16,13,15,14,15,14
68,Khvicha Kvaratskhelia,https://fminside.net/players/3-fm-23/59130638-khvicha-kvaratskhelia,Napoli,Georgia,21,AMLAML,Right,183 CM,70 KG,59130638,"€ 29,620 pw",2027-06-30,8,14,19,15,17,12,11,14,4,4,15,17,7,18,11,12,12,15,12,15,17,19,10,13,5,11,14,10,15,18,14,9,16,14,12,10
69,Sergej Milinkovic-Savic,https://fminside.net/players/3-fm-23/62127037-sergej-milinkovic-savic,Lazio,Serbia,27,"MC, AMCMC",Right,191 CM,82 KG,62127037,"€ 114,050 pw",2024-06-30,4,6,14,16,16,15,17,15,4,7,16,13,12,16,14,14,17,12,10,13,16,18,14,17,11,16,15,14,11,12,17,17,20,12,17,17
70,Thomas Partey,https://fminside.net/players/3-fm-23/67175052-thomas-partey,Arsenal,Ghana,29,"DM, MCDM, MC",Right,185 CM,80 KG,67175052,"€ 185,600 pw",2025-06-30,8,11,14,10,15,9,13,15,10,12,15,8,14,16,13,16,14,15,14,17,14,13,12,15,15,16,14,15,13,13,14,14,11,13,15,15
71,Pedri,https://fminside.net/players/3-fm-23/67293495-pedri,FC Barcelona,Spain,19,"MC, AMR, AML, AMCMC, AMC",Right,174 CM,65 KG,67293495,"€ 1,000,000,000","€ 172,610 pw",9,14,17,11,18,9,7,11,6,6,17,11,9,17,11,17,11,16,15,16,14,17,9,13,9,13,18,15,14,16,13,8,16,13,16,9
72,Eder Militao,https://fminside.net/players/3-fm-23/19273276-eder-militao,Real Madrid,Brazil,24,DCDC,Right,186 CM,79 KG,19273276,"€ 250,017,800","€ 178,090 pw",9,10,12,8,12,14,15,11,10,16,13,13,15,12,15,16,16,13,12,13,15,10,16,12,15,14,11,15,15,15,15,15,18,15,16,16
73,Bruno Guimarães,https://fminside.net/players/3-fm-23/19297055-bruno-guimaraes,Newcastle,Brazil,24,"DM, MCDM, MC",Right,182 CM,74 KG,19297055,"€ 185,600 pw",2026-06-30,11,12,16,13,17,12,11,12,5,13,18,11,14,16,12,15,15,17,15,15,14,14,12,14,15,15,17,16,12,13,12,12,14,13,14,13
74,Serge Gnabry,https://fminside.net/players/3-fm-23/28066083-serge-gnabry,FC Bayern,Germany,26,"MR, ML, AMR, AML, STAMR, AML, ST",Right,176 CM,77 KG,28066083,"€ 287,690 pw",2026-06-30,12,11,15,15,14,12,11,16,6,8,13,12,9,15,11,16,12,14,11,12,12,15,5,17,8,12,14,12,16,15,15,8,13,15,12,12
75,Nicolò Barella,https://fminside.net/players/3-fm-23/43139595-nicolo-barella,Internazionale,Italy,25,MCMC,Right,172 CM,68 KG,43139595,"€ 178,090 pw",2026-06-30,12,12,14,13,15,14,6,14,4,11,16,12,16,15,19,14,18,14,12,14,19,14,14,16,13,18,16,19,14,15,15,7,17,14,17,12
76,Dejan Kulusevski,https://fminside.net/players/3-fm-23/43295814-dejan-kulusevski,Tottenham Hotspur,Sweden,22,"MR, AMR, AMCMR, AMR, AMC",Left,186 CM,79 KG,43295814,"€ 88,950 pw",2024-06-30,11,16,17,13,15,9,7,11,4,4,17,11,7,16,7,15,8,13,12,16,15,15,6,15,6,15,16,15,13,14,17,12,14,14,16,16
77,Milan Škriniar,https://fminside.net/players/3-fm-23/63013145-milan-kriniar,Internazionale,Slovakia,27,DCDC,Right,188 CM,82 KG,63013145,"€ 106,930 pw",2023-06-30,4,7,9,9,10,4,16,6,11,18,12,10,17,11,17,16,17,12,13,13,18,6,14,9,14,16,9,16,14,11,16,16,18,15,16,18
